policy,regime,vud,correct_utility_per_task,far,severity_weighted_far,acceptance_coverage,correct_acceptance_rate,failure_declaration_rate,cost_per_task,cost_per_correct_task,deadline_miss_rate,budget_violation_rate,scheduler_overhead_seconds,stale_evidence_invalidations,accepted,false_accepts,tasks,far_upper_95
greedy_confidence,low_monetary_budgets,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8282554854277202,1242.3832281415803,0.0,0.0,1.4617813778477284,0.0,0.0,0.0,1500.0,1.0
greedy_confidence,missing_causal_overlap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.830404228451795,830.404228451795,0.0,0.0,1.0055102190726757,0.0,0.0,0.0,1000.0,1.0
greedy_confidence,noisy_verifiers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8321597779517705,1248.239666927656,0.0,0.0,1.510109245988133,0.0,0.0,0.0,1500.0,1.0
greedy_confidence,pareto_cost_duration,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6878526996820983,687.8526996820983,0.021,0.0,0.9559308368843631,0.0,0.0,0.0,1000.0,1.0
greedy_confidence,shared_specification_trap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8268479888314342,826.8479888314341,0.0,0.0,0.9923558780046733,0.0,0.0,0.0,1000.0,1.0
greedy_confidence,tight_deadlines,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8287539370193463,1243.1309055290194,0.08933333333333333,0.0,1.500718399996913,0.0,0.0,0.0,1500.0,1.0
greedy_confidence,verifier_degradation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8269539474983001,826.9539474983001,0.0,0.0,1.0713376450257783,0.0,0.0,0.0,1000.0,1.0
linear_thompson,balanced_default,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.562026578530018,843.039867795027,0.0,0.0,1.5098185449878656,3.0,0.0,0.0,1500.0,1.0
linear_thompson,competence_drift,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5698758775675596,569.8758775675597,0.001,0.0,0.987290852039223,7.0,0.0,0.0,1000.0,1.0
linear_thompson,confidence_inversion,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5631583069617568,563.1583069617568,0.0,0.0,1.007633515935595,0.0,0.0,0.0,1000.0,1.0
linear_thompson,context_poisoning,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5718088060989072,571.8088060989072,0.0,0.0,0.973604175975197,3.0,0.0,0.0,1000.0,1.0
linear_thompson,hidden_catastrophic_defect,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5590094655813052,559.0094655813051,0.0,0.0,1.1128883609853801,4.0,0.0,0.0,1000.0,1.0
linear_thompson,hidden_reviewer_correlation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5608748460976788,560.8748460976788,0.0,0.0,0.9991410309739877,0.0,0.0,0.0,1000.0,1.0
linear_thompson,high_modeled_correlation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5621760356562625,843.2640534843938,0.0,0.0,1.4968036649552232,0.0,0.0,0.0,1500.0,1.0
linear_thompson,high_repair_regression,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.561227280383713,561.2272803837129,0.0,0.0,0.9966432659202837,3.0,0.0,0.0,1000.0,1.0
